name,occurences,%
Leather Boots of Lightning,10,0.01
Ring of Shadows,7,0.006999999999999999
Possessed Choker of Lightning,3,0.003
Worn Dagger of Pain,2,0.002
Clown Shoes of Light,11,0.011000000000000001
Worn Bracelet of Storms,2,0.002
Lava-Forged Necklace of Pain,4,0.004
Bronze Long Sword of Might,1,0.001
Demon Chest of Torment,21,0.021
Sage Ring of Rage,6,0.006
True Necklace of Torment,5,0.005
Demonic Wand of Fiery Might,1,0.001
Cast Iron Breastplate of Storms,12,0.012
Arcane Boots of Wit,12,0.012
Diamond Pendant of Doom,7,0.006999999999999999
Club of Wit,3,0.003
Engraved Bracelet of Doom,9,0.009000000000000001
Diamond Choker of Arcane,5,0.005
Mystic Wand of Healing,1,0.001
Lava-Forged Boots of Lightning,7,0.006999999999999999
Steel Scepter of Suffering,3,0.003
Ancient Breastplate of Light,13,0.013
Sage Bracer of Fiery Might,12,0.012
True Amulet of Rage,10,0.01
Wood Morningstar of Lightning,2,0.002
Crystal Pendant of Moon,5,0.005
Forged Short Bow of Rage,3,0.003
Cast Iron Boots of Vengeance,18,0.018000000000000002
Silver Bracer of Abyss,9,0.009000000000000001
Cryptic Necklace of Doom,4,0.004
Ancient Quarterstaff of Warding,2,0.002
Wood Breastplate of Void,8,0.008
Exquisite Ring of Moon,5,0.005
Engraved Necklace of Torment,3,0.003
Shadow Morningstar of Rage,3,0.003
Invisibility Cloak of Wit,11,0.011000000000000001
Reinforced Shoes of Might,12,0.012
Enflamed Bracer of Rage,5,0.005
Worn Club of Souls,5,0.005
Reinforced Boots of Void,16,0.016
Elemental Bracelet of Moon,5,0.005
Diamond Amulet of Warding,3,0.003
Tome of Sun,2,0.002
Crimson Bracelet of Void,7,0.006999999999999999
Exquisite Necklace of Storms,4,0.004
Club of Storms,3,0.003
Imbued Ring of Destruction,8,0.008
Crystal Choker of Insanity,3,0.003
Mystic Rapier of Destruction,3,0.003
Jacket of Light,12,0.012
Leather Shoes of Rage,10,0.01
Gold Bracer of Shadows,7,0.006999999999999999
Gold Choker of Moon,5,0.005
Mystic Scythe of Lightning,2,0.002
Jacket of Souls,9,0.009000000000000001
Dragonscale Boots of Souls,11,0.011000000000000001
Plague Bracer of Doom,6,0.006
Plague Necklace of Lightning,9,0.009000000000000001
Bronze Wand of Doom,2,0.002
Shadow Boots,15,0.015
True Bracer,5,0.005
Divine Amulet of Doom,10,0.01
Worn Wand of Rage,4,0.004
Robe,4,0.004
Mystic Shoes of Arcane,14,0.013999999999999999
Crystal Bracelet of Vengeance,11,0.011000000000000001
Enflamed Choker of Insanity,6,0.006
Lava-Forged Short Bow of Souls,4,0.004
Bear Chest of Void,10,0.01
Reinforced Boots of Shadows,15,0.015
Crimson Bracer of Might,8,0.008
Diamond Pendant of Healing,6,0.006
Cast Iron Spear of Vengeance,1,0.001
Dragonscale Breastplate of Arcane,16,0.016
Possessed Bracer of Healing,9,0.009000000000000001
Forged Scepter of Suffering,2,0.002
Leather Breastplate of Insanity,12,0.012
Possessed Bracelet of Pain,4,0.004
Elemental Pendant of Destruction,5,0.005
Steel Club of Insanity,2,0.002
Silk Tunic of Might,9,0.009000000000000001
Sandles of Skill,10,0.01
Bronze Double Bow of Lightning,5,0.005
Forged Breastplate of Sun,10,0.01
Dragonscale Shoes of Lightning,16,0.016
Diamond Bracer of Fiery Might,2,0.002
Engraved Necklace,5,0.005
Bronze Double Bow of Sun,2,0.002
Silk Tunic of Sun,18,0.018000000000000002
Dragonscale Slippers of Destruction,12,0.012
Diamond Bracelet of Abyss,4,0.004
Engraved Necklace of Abyss,4,0.004
Ancient Long Bow of Doom,3,0.003
Clown Shoes of Pain,5,0.005
Gold Pendant of Storms,5,0.005
Reinforced Axe of Brilliance,2,0.002
Imbued Ring of Doom,7,0.006999999999999999
Staff of Vengeance,3,0.003
Dragon Wings of Void,9,0.009000000000000001
Mystic Boots of Insanity,14,0.013999999999999999
Sage Ring of Destruction,10,0.01
Elemental Necklace of Wit,9,0.009000000000000001
Cracked Short Bow of Void,2,0.002
Wood Warhammer of Souls,3,0.003
Cloak of Destruction,10,0.01
Elemental Bracer of Fiery Might,8,0.008
Pendant of Storms,9,0.009000000000000001
Cracked Warhammer of Torment,2,0.002
Forged Boots of Void,8,0.008
Plague Bracer,5,0.005
Possessed Choker of Might,8,0.008
Reinforced Short Bow of Storms,2,0.002
Champion Boots,18,0.018000000000000002
Divine Bracelet of Vengeance,8,0.008
Wood Tome of Abyss,4,0.004
Cracked Boots of Moon,15,0.015
Enflamed Bracelet of Torment,10,0.01
Lava-Forged Ice Flame of Suffering,2,0.002
Silk Robe of Suffering,16,0.016
Bronze Boots of Arcane,18,0.018000000000000002
Imbued Ring of Torment,4,0.004
Mystic Fire Flame of Warding,2,0.002
Divine Necklace of Sun,5,0.005
Steel Wand of Souls,1,0.001
Cast Iron Breastplate of Moon,12,0.012
Steel Boots of Might,10,0.01
Diamond Bracer of Doom,8,0.008
Worn Spear of Insanity,2,0.002
Crystal Ring of Destruction,7,0.006999999999999999
Shadow Quarterstaff of Might,1,0.001
Bronze Bracer of Storms,7,0.006999999999999999
Bronze Amulet of Storms,7,0.006999999999999999
Mystic Greater Wand of Skill,1,0.001
Worn Ring of Skill,8,0.008
Bronze Warhammer of Pain,3,0.003
Possessed Necklace of Healing,5,0.005
Bronze Staff of Shadows,2,0.002
Bronze Boots of Void,10,0.01
Gold Ring of Torment,5,0.005
Cryptic Pendant of Torment,5,0.005
Steel Double Bow of Brilliance,2,0.002
Forged Boots of Sun,15,0.015
Imbued Bracer of Destruction,9,0.009000000000000001
Lava-Forged Choker of Wit,5,0.005
Champion Scythe of Skill,1,0.001
Mystic Breastplate of Warding,9,0.009000000000000001
Ancient Slippers of Might,7,0.006999999999999999
Worn Choker of Torment,6,0.006
Cast Iron Staff of Abyss,2,0.002
Wood Breastplate of Arcane,10,0.01
Lava-Forged Boots of Suffering,10,0.01
Plague Bracer of Vengeance,2,0.002
Diamond Pendant of Skill,8,0.008
Shadow Halberd of Suffering,3,0.003
Gold Ring of Insanity,13,0.013
Champion Wand of Torment,1,0.001
Leather Slippers of Abyss,20,0.02
Engraved Ring of Suffering,5,0.005
Elemental Necklace of Sun,4,0.004
Worn Greater Wand of Wit,2,0.002
Cryptic Ring of Souls,10,0.01
Forged Rapier of Moon,3,0.003
Shadow Boots of Abyss,12,0.012
Plague Amulet of Rage,8,0.008
Mystic Scythe of Doom,2,0.002
Forged Breastplate of Suffering,13,0.013
Imbued Necklace of Vengeance,5,0.005
Wood Ice Flame of Shadows,3,0.003
Tunic of Rage,13,0.013
Wool Slippers of Skill,11,0.011000000000000001
Dragonscale Bracer of Moon,6,0.006
Crimson Amulet of Vengeance,7,0.006999999999999999
Bronze Rapier of Storms,1,0.001
Werewolf Chest,11,0.011000000000000001
Champion Boots of Fiery Might,9,0.009000000000000001
Exquisite Ring of Sun,12,0.012
Engraved Pendant,3,0.003
Ancient Halberd of Might,3,0.003
Ancient Breastplate of Might,10,0.01
Ancient Boots of Souls,12,0.012
Ring of Fiery Might,2,0.002
Cast Iron Greater Wand of Might,2,0.002
Invisibility Cloak of Healing,13,0.013
Worn Amulet of Rage,8,0.008
Wood Ice Flame of Brilliance,3,0.003
Cloak of Brilliance,16,0.016
Elemental Bracelet of Light,8,0.008
Demonic Long Sword of Might,1,0.001
Leather Shoes of Doom,15,0.015
Bronze Choker of Sun,5,0.005
Shadow Scythe of Souls,2,0.002
Bear Paws of Brilliance,7,0.006999999999999999
Crystal Necklace of Souls,8,0.008
Cast Iron Club of Destruction,1,0.001
Silver Bracer of Fiery Might,5,0.005
Gold Choker of Healing,4,0.004
Tunic of Sun,12,0.012
Werewolf Paws of Wit,12,0.012
Worn Bracelet of Destruction,4,0.004
Ice Flame of Warding,1,0.001
Bronze Necklace,4,0.004
Bronze Scepter of Rage,1,0.001
Gold Bracelet of Suffering,7,0.006999999999999999
Diamond Choker of Vengeance,3,0.003
Wood Short Bow of Doom,2,0.002
Mystic Robe of Abyss,13,0.013
Engraved Bracelet of Destruction,3,0.003
Forged Dagger of Vengeance,3,0.003
Steel Breastplate of Suffering,15,0.015
True Bracelet of Sun,2,0.002
Dragonscale Choker of Lightning,7,0.006999999999999999
Bronze Mace of Might,2,0.002
Forged Breastplate of Might,8,0.008
Sandles of Torment,13,0.013
Worn Pendant of Rage,6,0.006
Lava-Forged Long Sword of Skill,3,0.003
Lava-Forged Scythe of Moon,2,0.002
Lava-Forged Boots of Pain,19,0.019
Plague Bracelet of Storms,8,0.008
Divine Amulet of Destruction,3,0.003
Champion Fire Flame of Doom,2,0.002
Arcane Boots of Warding,12,0.012
Gold Bracelet of Void,5,0.005
Silver Necklace of Healing,1,0.001
Wood Long Sword of Insanity,3,0.003
Jacket of Moon,14,0.013999999999999999
Crimson Ring of Brilliance,3,0.003
Elemental Pendant of Torment,4,0.004
Scepter of Souls,1,0.001
Lion Paws of Insanity,16,0.016
Plague Ring of Rage,5,0.005
Steel Ice Flame of Void,3,0.003
Ancient Boots of Shadows,10,0.01
Cryptic Ring of Vengeance,4,0.004
Bronze Choker of Suffering,3,0.003
Shadow Double Bow of Pain,2,0.002
Werewolf Chest of Moon,14,0.013999999999999999
Dragon Talons of Shadows,9,0.009000000000000001
Imbued Ring of Warding,5,0.005
Worn Warhammer of Light,2,0.002
Bear Paws of Torment,13,0.013
Imbued Pendant of Might,8,0.008
Shadow Staff of Warding,3,0.003
Steel Breastplate of Skill,15,0.015
Mystic Shoes of Healing,15,0.015
Enchanted Ring of Void,5,0.005
Worn Amulet of Void,5,0.005
Reinforced Mace,2,0.002
Wood Boots of Might,9,0.009000000000000001
Engraved Pendant of Fiery Might,8,0.008
Forged Dagger of Storms,2,0.002
Werewolf Paws of Fiery Might,8,0.008
Enchanted Ring of Souls,4,0.004
Crystal Necklace of Torment,6,0.006
Cracked Greater Wand of Fiery Might,2,0.002
Ancient Breastplate of Warding,9,0.009000000000000001
Enchanted Bracelet of Souls,4,0.004
Enchanted Choker of Warding,4,0.004
Cast Iron Double Bow of Lightning,3,0.003
Leather Slippers of Pain,12,0.012
Crystal Ring of Pain,10,0.01
Champion Axe of Destruction,2,0.002
Bear Paws of Sun,12,0.012
Engraved Choker of Moon,6,0.006
Wood Warhammer of Skill,4,0.004
Shadow Boots of Warding,21,0.021
Divine Ring of Torment,8,0.008
Imbued Amulet of Insanity,7,0.006999999999999999
Forged Wand of Wit,1,0.001
Lava-Forged Bracer of Sun,7,0.006999999999999999
Shadow Axe of Moon,2,0.002
Mystic Breastplate of Insanity,10,0.01
Exquisite Ring of Wit,6,0.006
Enflamed Choker of Light,4,0.004
Worn Quarterstaff of Doom,3,0.003
Dragonscale Shoes of Wit,9,0.009000000000000001
Dragonscale Amulet of Light,7,0.006999999999999999
Mystic Tome of Insanity,2,0.002
Robe of Brilliance,14,0.013999999999999999
Reinforced Shoes of Wit,12,0.012
Diamond Ring of Light,8,0.008
Divine Choker of Pain,4,0.004
Lava-Forged Scepter of Sun,1,0.001
Mystic Shoes of Void,12,0.012
Bracelet of Skill,5,0.005
Amulet of Might,6,0.006
Dagger of Insanity,1,0.001
Enflamed Amulet of Shadows,2,0.002
Lava-Forged Morningstar of Doom,3,0.003
Robe of Wit,12,0.012
Werewolf Paws of Pain,6,0.006
Bronze Ring of Brilliance,8,0.008
Lava-Forged Club of Torment,2,0.002
Forged Breastplate of Skill,15,0.015
Dragonscale Slippers of Torment,11,0.011000000000000001
Silver Bracer of Sun,3,0.003
Possessed Amulet,3,0.003
Shadow Ice Flame of Moon,4,0.004
Ancient Breastplate of Abyss,12,0.012
Cast Iron Boots of Arcane,15,0.015
Enflamed Amulet of Moon,3,0.003
Lava-Forged Dagger of Wit,2,0.002
Diamond Bracer of Rage,6,0.006
Gold Choker of Torment,6,0.006
Mystic Short Bow of Shadows,1,0.001
Silk Shirt of Vengeance,17,0.017
Cast Iron Boots of Torment,10,0.01
Diamond Amulet of Arcane,3,0.003
Reinforced Long Sword of Might,1,0.001
Mystic Slippers of Insanity,9,0.009000000000000001
Bronze Bracer,6,0.006
Imbued Necklace,4,0.004
Bronze Scythe of Light,4,0.004
Bronze Ring of Moon,9,0.009000000000000001
Imbued Amulet of Suffering,6,0.006
Reinforced Tome of Torment,1,0.001
Robe of Moon,11,0.011000000000000001
Shadow Boots of Moon,9,0.009000000000000001
Bracelet of Doom,9,0.009000000000000001
Engraved Pendant of Moon,5,0.005
Shadow Warhammer of Doom,1,0.001
Cracked Breastplate of Vengeance,9,0.009000000000000001
Champion Boots of Skill,14,0.013999999999999999
Possessed Bracelet of Shadows,12,0.012
Worn Spear of Skill,1,0.001
Lion Chest of Rage,11,0.011000000000000001
Mystic Shoes of Doom,10,0.01
Imbued Bracelet of Souls,9,0.009000000000000001
Bronze Necklace of Lightning,7,0.006999999999999999
Worn Quarterstaff of Moon,2,0.002
Werewolf Paws of Sun,19,0.019
Diamond Ring of Moon,5,0.005
Lava-Forged Necklace of Might,2,0.002
Champion Warhammer of Rage,1,0.001
True Ring of Moon,8,0.008
True Choker of Abyss,4,0.004
Champion Club of Skill,1,0.001
Diamond Ring of Shadows,9,0.009000000000000001
Bronze Pendant,4,0.004
Mystic Morningstar,2,0.002
Plague Necklace of Moon,9,0.009000000000000001
Reinforced Dagger of Rage,2,0.002
Steel Breastplate of Brilliance,19,0.019
True Ring of Might,9,0.009000000000000001
Exquisite Pendant of Might,4,0.004
Ancient Quarterstaff of Brilliance,3,0.003
Dragonscale Breastplate of Light,18,0.018000000000000002
Ancient Slippers of Void,9,0.009000000000000001
Cryptic Bracelet of Torment,9,0.009000000000000001
Sage Choker of Abyss,2,0.002
Demonic Axe,1,0.001
Invisibility Cloak of Shadows,14,0.013999999999999999
Dragon Talons,13,0.013
Gold Bracer of Might,6,0.006
Dragonscale Pendant of Brilliance,5,0.005
Robe of Rage,12,0.012
Choker of Suffering,5,0.005
Forged Scythe of Arcane,1,0.001
Mystic Slippers of Warding,12,0.012
Ring of Torment,5,0.005
Champion Wand of Light,2,0.002
Bronze Bracelet of Torment,4,0.004
Diamond Amulet of Torment,8,0.008
Steel Rapier of Brilliance,1,0.001
Enchanted Bracer of Pain,11,0.011000000000000001
Crimson Amulet of Light,6,0.006
Lava-Forged Club of Brilliance,1,0.001
Bronze Breastplate of Rage,9,0.009000000000000001
Ancient Slippers of Storms,13,0.013
Divine Bracer of Insanity,7,0.006999999999999999
Pendant of Torment,4,0.004
Reinforced Fire Flame of Healing,1,0.001
Dragonscale Breastplate of Insanity,13,0.013
Werewolf Paws of Doom,12,0.012
Engraved Pendant of Vengeance,4,0.004
Ancient Rapier of Arcane,2,0.002
Worn Choker of Light,6,0.006
Demonic Morningstar of Souls,2,0.002
Possessed Bracer of Brilliance,3,0.003
Plague Amulet of Brilliance,9,0.009000000000000001
Wood Long Sword of Moon,2,0.002
Cryptic Bracelet of Souls,4,0.004
Elemental Amulet of Fiery Might,7,0.006999999999999999
Lava-Forged Scythe of Lightning,1,0.001
Silk Robe of Torment,20,0.02
Possessed Ring of Void,3,0.003
Crystal Pendant of Healing,5,0.005
Cracked Staff of Wit,2,0.002
Leather Breastplate of Skill,9,0.009000000000000001
Bronze Bracelet of Abyss,4,0.004
Enflamed Choker of Doom,5,0.005
Worn Scepter of Destruction,1,0.001
Arcane Boots of Might,11,0.011000000000000001
Reinforced Club of Moon,4,0.004
Bear Chest of Light,16,0.016
Enflamed Bracelet of Vengeance,9,0.009000000000000001
Steel Dagger of Vengeance,2,0.002
Leather Breastplate of Storms,11,0.011000000000000001
Enflamed Bracelet of Souls,5,0.005
Crimson Pendant of Abyss,4,0.004
Bronze Long Sword of Light,1,0.001
Sage Choker of Lightning,8,0.008
Lava-Forged Double Bow of Sun,1,0.001
Enflamed Bracer of Arcane,6,0.006
Possessed Pendant of Souls,6,0.006
Champion Short Bow of Abyss,1,0.001
Cracked Breastplate of Abyss,17,0.017
Mystic Boots of Warding,9,0.009000000000000001
Dragonscale Bracelet of Might,5,0.005
Silver Pendant of Sun,3,0.003
Reinforced Staff of Might,6,0.006
Cracked Breastplate,10,0.01
Leather Boots of Fiery Might,13,0.013
Lava-Forged Necklace of Suffering,10,0.01
Demonic Scythe,4,0.004
Steel Axe of Vengeance,2,0.002
Leather Slippers of Destruction,11,0.011000000000000001
Enflamed Ring of Destruction,8,0.008
Worn Necklace of Suffering,5,0.005
Forged Short Bow of Destruction,2,0.002
Silk Robe of Brilliance,17,0.017
Dragonscale Bracer of Sun,6,0.006
Engraved Amulet of Brilliance,7,0.006999999999999999
Steel Dagger of Pain,1,0.001
Bronze Boots of Healing,12,0.012
Bronze Bracer of Insanity,8,0.008
Bronze Necklace of Warding,6,0.006
Cracked Long Sword of Destruction,1,0.001
Ancient Boots of Vengeance,9,0.009000000000000001
Sage Bracer of Souls,2,0.002
Amulet of Souls,9,0.009000000000000001
Forged Halberd of Void,1,0.001
Enflamed Ring of Might,6,0.006
Silver Amulet of Pain,8,0.008
Reinforced Double Bow,4,0.004
Ancient Shoes of Fiery Might,13,0.013
Possessed Ring of Fiery Might,6,0.006
Cast Iron Club of Abyss,3,0.003
Tunic of Lightning,12,0.012
True Ring of Doom,9,0.009000000000000001
True Necklace of Doom,2,0.002
Worn Fire Flame of Torment,2,0.002
Bronze Greater Wand of Destruction,1,0.001
Clown Shoes of Insanity,11,0.011000000000000001
Crimson Necklace of Brilliance,5,0.005
Ancient Morningstar of Suffering,2,0.002
True Ring of Void,6,0.006
Divine Amulet of Might,5,0.005
Cracked Warhammer of Abyss,1,0.001
Dragon Wings of Skill,9,0.009000000000000001
Mystic Shoes of Souls,12,0.012
Silver Bracelet of Rage,5,0.005
Cryptic Amulet of Healing,5,0.005
Forged Scythe of Brilliance,1,0.001
Tunic of Healing,10,0.01
Dragonscale Bracelet of Fiery Might,6,0.006
Gold Amulet of Arcane,3,0.003
Lava-Forged Mace of Pain,3,0.003
Champion Breastplate,12,0.012
Mystic Boots of Abyss,15,0.015
True Pendant of Doom,8,0.008
Steel Morningstar of Lightning,1,0.001
Mystic Robe of Destruction,11,0.011000000000000001
Enchanted Bracer of Healing,5,0.005
Imbued Necklace of Lightning,5,0.005
Short Bow of Pain,2,0.002
Cloak of Sun,17,0.017
Lion Paws of Skill,9,0.009000000000000001
Exquisite Ring of Storms,5,0.005
Exquisite Necklace of Pain,6,0.006
Shadow Warhammer of Destruction,2,0.002
Worn Bracer of Skill,6,0.006
Crystal Necklace of Fiery Might,11,0.011000000000000001
Demonic Long Bow of Torment,1,0.001
Cracked Breastplate of Wit,17,0.017
Worn Wand of Souls,6,0.006
Reinforced Shoes of Light,9,0.009000000000000001
Enchanted Bracelet of Fiery Might,7,0.006999999999999999
Sage Amulet of Warding,9,0.009000000000000001
Forged Long Sword of Destruction,4,0.004
Elemental Bracelet of Arcane,9,0.009000000000000001
Bronze Necklace of Moon,5,0.005
Lava-Forged Double Bow of Pain,2,0.002
Divine Cloak,13,0.013
Elemental Ring of Rage,5,0.005
Necklace of Light,6,0.006
Champion Mace of Void,2,0.002
Silk Tunic of Abyss,10,0.01
Exquisite Choker,10,0.01
Ancient Long Bow of Wit,3,0.003
Imbued Necklace of Torment,6,0.006
Ancient Dagger of Fiery Might,1,0.001
Shirt of Fiery Might,10,0.01
Crystal Bracer of Suffering,9,0.009000000000000001
True Necklace of Lightning,4,0.004
Forged Double Bow of Doom,1,0.001
Leather Jacket of Fiery Might,9,0.009000000000000001
Leather Slippers of Lightning,17,0.017
Crystal Bracer of Arcane,4,0.004
Crystal Choker of Sun,5,0.005
Steel Fire Flame,3,0.003
Werewolf Chest of Might,7,0.006999999999999999
Lion Paws of Might,14,0.013999999999999999
Imbued Bracer of Storms,8,0.008
Demonic Quarterstaff of Torment,1,0.001
Clown Shoes of Shadows,8,0.008
Dragonscale Ring of Doom,10,0.01
Plague Choker,4,0.004
Bronze Double Bow of Souls,2,0.002
Demon Chest,11,0.011000000000000001
Reinforced Boots of Rage,11,0.011000000000000001
Enchanted Ring of Might,6,0.006
Choker of Arcane,6,0.006
Lava-Forged Halberd of Storms,1,0.001
Ancient Slippers of Rage,14,0.013999999999999999
Sage Ring of Shadows,6,0.006
Sage Necklace of Destruction,4,0.004
Champion Short Bow of Lightning,4,0.004
Ancient Shoes of Lightning,17,0.017
Plague Ring of Wit,4,0.004
Bronze Necklace of Shadows,2,0.002
Reinforced Quarterstaff of Rage,1,0.001
Shadow Breastplate of Sun,13,0.013
Engraved Amulet of Healing,5,0.005
Tome of Wit,2,0.002
Crystal Bracer of Skill,5,0.005
Enflamed Choker,5,0.005
Leather Boots of Might,8,0.008
Enflamed Amulet of Souls,5,0.005
Bronze Greater Wand of Souls,2,0.002
Bronze Bracelet of Moon,6,0.006
Dragonscale Choker of Pain,4,0.004
Champion Axe of Might,3,0.003
Werewolf Chest of Souls,15,0.015
Crystal Ring of Lightning,8,0.008
Crimson Amulet of Pain,6,0.006
Leather Jacket of Moon,16,0.016
Leather Slippers of Fiery Might,12,0.012
Cryptic Bracer of Skill,4,0.004
Sage Amulet of Souls,6,0.006
Forged Quarterstaff of Lightning,3,0.003
Bear Chest of Souls,12,0.012
Sandles of Light,11,0.011000000000000001
Silver Ring of Moon,6,0.006
Silver Necklace of Moon,6,0.006
Cracked Axe of Healing,3,0.003
Shadow Boots of Doom,16,0.016
Silver Necklace of Souls,4,0.004
Champion Staff of Pain,2,0.002
Werewolf Chest of Vengeance,13,0.013
Imbued Bracelet of Lightning,4,0.004
Possessed Necklace of Moon,1,0.001
Lava-Forged Breastplate of Skill,18,0.018000000000000002
Forged Boots of Arcane,12,0.012
Enflamed Ring of Brilliance,3,0.003
Enflamed Amulet of Warding,7,0.006999999999999999
Bronze Axe of Wit,2,0.002
Forged Breastplate of Wit,18,0.018000000000000002
Bear Paws of Shadows,16,0.016
Imbued Bracelet of Might,7,0.006999999999999999
Mystic Axe of Void,1,0.001
Dragonscale Ring of Vengeance,10,0.01
Cracked Mace of Fiery Might,2,0.002
Exquisite Ring of Torment,10,0.01
Cryptic Necklace of Rage,5,0.005
Cracked Short Bow of Souls,2,0.002
Lion Chest of Storms,11,0.011000000000000001
Reinforced Boots of Fiery Might,12,0.012
Worn Amulet of Lightning,4,0.004
Worn Tome of Warding,2,0.002
Ancient Boots of Arcane,7,0.006999999999999999
Plague Choker of Healing,5,0.005
Reinforced Scepter,3,0.003
Dragonscale Slippers of Vengeance,14,0.013999999999999999
Engraved Bracelet of Warding,9,0.009000000000000001
Silver Amulet of Storms,4,0.004
Steel Rapier of Wit,1,0.001
Bear Chest of Brilliance,11,0.011000000000000001
Werewolf Paws of Abyss,16,0.016
Diamond Amulet of Doom,5,0.005
Cracked Halberd of Souls,1,0.001
Mystic Shoes of Insanity,17,0.017
Worn Necklace of Torment,5,0.005
Cracked Greater Wand of Healing,2,0.002
Mystic Slippers of Arcane,6,0.006
Dragonscale Bracer,5,0.005
True Choker,11,0.011000000000000001
Champion Scepter of Storms,2,0.002
Lava-Forged Boots of Vengeance,13,0.013
Enchanted Bracer of Shadows,5,0.005
Ancient Halberd of Warding,2,0.002
Wood Boots of Doom,14,0.013999999999999999
Worn Bracelet of Vengeance,5,0.005
Shadow Fire Flame of Healing,1,0.001
Lava-Forged Halberd of Insanity,3,0.003
Silver Ring of Souls,7,0.006999999999999999
Crimson Amulet of Doom,8,0.008
Lava-Forged Double Bow of Abyss,1,0.001
Dragon Wings of Shadows,15,0.015
Bronze Bracelet of Souls,6,0.006
Imbued Amulet of Healing,6,0.006
Demonic Staff of Lightning,2,0.002
Silk Tunic of Healing,15,0.015
Lava-Forged Boots of Light,10,0.01
Lava-Forged Bracer of Light,6,0.006
Possessed Amulet of Healing,4,0.004
Wood Greater Wand of Suffering,2,0.002
Mystic Robe of Sun,12,0.012
Silver Bracelet of Destruction,9,0.009000000000000001
Cryptic Choker of Might,6,0.006
Bronze Tome of Arcane,2,0.002
Leather Boots of Warding,14,0.013999999999999999
Crystal Bracer of Destruction,6,0.006
Reinforced Quarterstaff of Sun,3,0.003
Robe of Skill,17,0.017
Champion Boots of Warding,13,0.013
Crystal Bracelet of Pain,7,0.006999999999999999
Worn Choker of Brilliance,5,0.005
Mystic Fire Flame of Abyss,3,0.003
True Necklace of Brilliance,5,0.005
Forged Rapier of Warding,1,0.001
Leather Jacket of Shadows,9,0.009000000000000001
Exquisite Bracelet,9,0.009000000000000001
Silver Necklace,4,0.004
Tome of Skill,2,0.002
Cloak of Doom,15,0.015
Lion Paws of Vengeance,15,0.015
Enflamed Bracer of Souls,8,0.008
Cryptic Amulet of Sun,9,0.009000000000000001
Forged Short Bow of Doom,4,0.004
Bronze Bracer of Arcane,5,0.005
Bronze Short Bow of Destruction,3,0.003
Divine Cloak of Insanity,14,0.013999999999999999
Mystic Slippers of Shadows,14,0.013999999999999999
Gold Bracelet of Arcane,6,0.006
Dragonscale Necklace of Wit,7,0.006999999999999999
Forged Wand of Warding,2,0.002
Lava-Forged Breastplate of Healing,16,0.016
Worn Bracer of Insanity,8,0.008
Champion Axe of Insanity,1,0.001
Cloak of Souls,12,0.012
Werewolf Paws of Souls,10,0.01
Exquisite Choker of Sun,4,0.004
Rapier of Moon,2,0.002
Shadow Breastplate of Skill,15,0.015
Worn Bracer of Warding,9,0.009000000000000001
Enflamed Amulet of Might,6,0.006
Steel Scythe of Might,2,0.002
Tunic of Moon,17,0.017
Reinforced Long Bow of Souls,3,0.003
Invisibility Cloak of Arcane,10,0.01
Forged Boots of Healing,15,0.015
Elemental Ring of Moon,3,0.003
Gold Pendant of Wit,7,0.006999999999999999
Worn Long Sword of Doom,1,0.001
Mystic Shoes,9,0.009000000000000001
Elemental Bracelet of Doom,7,0.006999999999999999
Bronze Necklace of Rage,4,0.004
Lava-Forged Scythe of Fiery Might,1,0.001
Pegasus Sandles of Moon,17,0.017
Lava-Forged Bracer of Storms,2,0.002
Shadow Rapier of Doom,1,0.001
Werewolf Chest of Abyss,14,0.013999999999999999
Engraved Bracelet of Storms,5,0.005
Silver Choker of Destruction,7,0.006999999999999999
Worn Dagger of Abyss,2,0.002
Shirt of Abyss,10,0.01
Exquisite Pendant of Warding,8,0.008
Ancient Long Bow of Brilliance,2,0.002
Forged Boots of Souls,19,0.019
Dragonscale Bracer of Void,8,0.008
Bronze Dagger of Arcane,1,0.001
Reinforced Shoes of Doom,14,0.013999999999999999
Crystal Bracer of Storms,6,0.006
Cracked Scythe of Lightning,2,0.002
Champion Boots of Light,13,0.013
Cryptic Bracelet of Suffering,6,0.006
Engraved Choker of Rage,4,0.004
Forged Long Bow of Destruction,2,0.002
Silk Shirt of Might,6,0.006
Dragonscale Shoes,15,0.015
Enchanted Ring of Lightning,4,0.004
Imbued Pendant of Destruction,7,0.006999999999999999
Cracked Scepter of Shadows,1,0.001
Dragonscale Bracer of Pain,7,0.006999999999999999
Wood Wand of Suffering,1,0.001
Forged Quarterstaff of Destruction,2,0.002
Ancient Breastplate of Brilliance,17,0.017
Bracer of Healing,3,0.003
Gold Amulet of Destruction,6,0.006
Mace of Storms,3,0.003
Steel Boots of Lightning,12,0.012
Elemental Amulet of Moon,5,0.005
Steel Axe of Rage,1,0.001
Invisibility Cloak of Suffering,7,0.006999999999999999
Lava-Forged Ring of Moon,7,0.006999999999999999
Elemental Pendant of Suffering,4,0.004
Shadow Mace of Lightning,1,0.001
Lava-Forged Pendant of Moon,6,0.006
Shadow Rapier of Brilliance,1,0.001
Robe of Void,11,0.011000000000000001
Dragon Talons of Lightning,8,0.008
Enchanted Ring of Rage,8,0.008
Bronze Ice Flame of Vengeance,3,0.003
Sage Bracelet of Brilliance,6,0.006
Engraved Pendant of Arcane,4,0.004
Bronze Rapier of Abyss,2,0.002
